id_campo,estado,ndvi_mean,ndvi_std,ndvi_max,ndvi_min,gndvi_mean,gndvi_std,gndvi_max,gndvi_min,avi_mean,avi_std,avi_max,avi_min,ari_mean,ari_std,ari_max,ari_min,bgi_mean,bgi_std,bgi_max,bgi_min,bri_mean,bri_std,bri_max,bri_min,chlgreen_mean,chlgreen_std,chlgreen_max,chlgreen_min,ci_mean,ci_std,ci_max,ci_min,cigreen_mean,cigreen_std,cigreen_max,cigreen_min,cvi_mean,cvi_std,cvi_max,cvi_min,evi_mean,evi_std,evi_max,evi_min,gari_mean,gari_std,gari_max,gari_min,gbndvi_mean,gbndvi_std,gbndvi_max,gbndvi_min,gemi_mean,gemi_std,gemi_max,gemi_min,gi_mean,gi_std,gi_max,gi_min,gvi_mean,gvi_std,gvi_max,gvi_min,ipvi_mean,ipvi_std,ipvi_max,ipvi_min,logr_mean,logr_std,logr_max,logr_min,mndvi_mean,mndvi_std,mndvi_max,mndvi_min,msr_mean,msr_std,msr_max,msr_min,msr2_mean,msr2_std,msr2_max,msr2_min,ng_mean,ng_std,ng_max,ng_min,nnir_mean,nnir_std,nnir_max,nnir_min,pvihyp_mean,pvihyp_std,pvihyp_max,pvihyp_min,psri_mean,psri_std,psri_max,psri_min,rre_mean,rre_std,rre_max,rre_min,sipi_mean,sipi_std,sipi_max,sipi_min,sr_mean,sr_std,sr_max,sr_min,ndwi_mean,ndwi_std,ndwi_max,ndwi_min,lat,lon,fecha_inicio,fecha_fin,diff_ndvi,diff_ndmi
Amazonas_Manaus_BR_0,sano,-0.00596323236823082,0.001979430904611945,-0.00013386880164034665,-0.010733566246926785,-0.009341085329651833,0.0024849376641213894,-0.003258195472881198,-0.01550437044352293,7495.212890625,82.74922943115234,7748.0,7343.0,-8.744881938582694e-07,2.692256941827509e-07,5.279434844851494e-08,-1.7494894564151764e-06,0.9791666269302368,0.01245315931737423,1.0043821334838867,0.9553725719451904,-1.1503288599445938e-10,3.466836540066964e-11,7.063734146217637e-12,-2.265884563312781e-10,1.0188710689544678,0.005063675343990326,1.0314970016479492,1.006537675857544,0.014178563840687275,0.013812166638672352,0.039540477097034454,-0.014287520200014114,-0.018497269600629807,0.004878798499703407,-0.006495237350463867,-0.03053528070449829,0.9749027490615845,0.006385169457644224,0.992035984992981,0.958116888999939,0.072938472032547,0.015796903520822525,0.136281818151474,0.0026329646352678537,-inf,,283.0,-inf,-0.33696016669273376,0.004851821810007095,-0.3273683786392212,-0.3467979431152344,-9420.3408203125,5773.64013671875,-4.2497992515563965,-28727.32421875,1.0067813396453857,0.0021550534293055534,1.0139048099517822,0.9996021389961243,-3431.153564453125,95.48687744140625,-3254.16015625,-3641.30810546875,0.24702826142311096,0.000983920181170106,0.24993306398391724,0.24466203153133392,-0.011926651932299137,0.003959008026868105,-0.000267720315605402,-0.021467959508299828,-inf,,115.0,-inf,-inf,,133.0,-inf,0.2789402902126312,0.004610733594745398,0.29257822036743164,0.26786935329437256,0.3361618220806122,0.0007287801709026098,0.3380976617336273,0.33422020077705383,0.3299402892589569,0.0009652032167650759,0.33256155252456665,0.3275313079357147,4313.52099609375,67.2970199584961,4487.90576171875,4200.07958984375,0.014305510558187962,0.013932413421571255,0.0397956445813179,-0.014552478678524494,7632.2939453125,115.77554321289062,7921.0,7439.0,-0.8563501834869385,3.6105077266693115,1.9067796468734741,-121.5,0.9881519079208374,0.003912939224392176,0.9997323155403137,0.978760838508606,0.009341085329651833,0.0024849376641213894,0.01550437044352293,0.003258195472881198,-3.128568324883544,-60.06537769798972,2024-07-01,2024-07-15,0.0037409598,-0.0016400504
Amazonas_Manaus_BR_1,sano,0.24015110731124878,0.12049788236618042,0.4737367630004883,-0.013327098451554775,0.24400751292705536,0.09824801981449127,0.43082237243652344,-0.006825135555118322,24445.791015625,5054.326171875,39599.0,11866.0,-3.3785502751015883e-07,5.477344075188739e-06,1.4906356227584183e-05,-1.4558761904481798e-05,0.8994560837745667,0.03439086303114891,1.0090523958206177,0.6361762285232544,-3.926913048207803e-12,3.0073804557773087e-10,7.876125862615879e-10,-1.2387393333312957e-09,0.617871105670929,0.12915486097335815,1.0137441158294678,0.39779752492904663,0.10311973094940186,0.07050826400518417,0.43771350383758545,-0.03193050995469093,0.6914605498313904,0.35610729455947876,1.5138416290283203,-0.013557732105255127,1.686790943145752,0.27805647253990173,2.3000552654266357,0.9078541994094849,2.0204403400421143,3.0715558528900146,95.9565200805664,-14.111968994140625,0.6432160139083862,0.36095619201660156,8.522388458251953,-0.49512603878974915,-0.06811706721782684,0.10313145071268082,0.14678452908992767,-0.33991241455078125,-57094108.0,48495456.0,-44729.390625,-235204720.0,0.996365487575531,0.058367643505334854,1.151789665222168,0.8068990111351013,544.1710815429688,3048.151611328125,7296.13720703125,-11168.2138671875,0.38812145590782166,0.07507292926311493,0.5429750084877014,0.2433808445930481,0.49809297919273376,0.2593444883823395,1.0297549962997437,-0.026655780151486397,0.7030635476112366,0.25834617018699646,5.097560882568359,0.045493561774492264,20.5910701751709,93.05026245117188,1569.7142333984375,-2308.0,1.087716817855835,0.49474677443504333,2.2874159812927246,0.2618933320045471,0.27227604389190674,0.022754278033971786,0.3433665931224823,0.2266792207956314,0.45256307721138,0.057677946984767914,0.5698356628417969,0.3288653492927551,10871.1171875,1372.264404296875,16381.0419921875,6450.0615234375,0.07287945598363876,0.05960461497306824,0.33726614713668823,-0.013541558757424355,14296.42578125,1553.4364013671875,23749.5,10035.0,1.3701159954071045,0.618348240852356,11.49056625366211,0.5980861186981201,1.7021211385726929,0.4456351697444916,2.800379514694214,0.9736963510513306,-0.24400751292705536,0.09824801981449127,0.006825135555118322,-0.43082237243652344,-3.067082328060175,-59.98349303247648,2024-07-01,2024-07-15,0.011229247,0.006396793
Amazonas_Manaus_BR_2,sano,0.20672160387039185,0.11325260251760483,0.48450204730033875,0.035650402307510376,0.21111330389976501,0.0974140614271164,0.4499482810497284,0.038804974406957626,23268.36328125,5428.5546875,39380.0,10605.0,8.311607047062353e-08,4.519442427408649e-06,1.8655962776392698e-05,-1.1995005479548126e-05,0.9011714458465576,0.05935484170913696,1.0515154600143433,0.3147943317890167,1.8212143598761443e-11,2.521070852079532e-10,1.1651237752374755e-09,-5.610079623075137e-10,0.6617459654808044,0.12936869263648987,0.9252892136573792,0.37935957312583923,0.10372119396924973,0.07766053080558777,0.7011362314224243,-0.10428216308355331,0.5776855945587158,0.34632056951522827,1.636021614074707,0.08074319362640381,1.5792211294174194,0.2884526252746582,2.412926435470581,1.0734291076660156,1.7799158096313477,4.179966926574707,93.5616455078125,-75.51724243164062,0.6033604741096497,0.2774025499820709,1.5638242959976196,-0.12117379158735275,-0.10285041481256485,0.1046469584107399,0.1719139665365219,-0.2923545837402344,-43832964.0,44585788.0,-728440.6875,-241876512.0,0.9937953948974609,0.04606859013438225,1.1132209300994873,0.8002318143844604,-484.24249267578125,3127.13916015625,7668.2685546875,-9679.0849609375,0.36724886298179626,0.07042299211025238,0.5509365797042847,0.2681429088115692,0.42628464102745056,0.24330087006092072,1.0577013492584229,0.07133106142282486,0.6743209958076477,0.21370981633663177,1.6604115962982178,0.22633938491344452,inf,,inf,-2061.833251953125,0.9518548846244812,0.46120572090148926,2.372054100036621,0.3795486092567444,0.2808953821659088,0.02337229810655117,0.32527679204940796,0.21971318125724792,0.43516695499420166,0.055333659052848816,0.5791686773300171,0.3500857651233673,10710.494140625,2172.1240234375,20437.896484375,5719.77587890625,0.07456289231777191,0.05776825547218323,0.472811758518219,-0.06840983033180237,14514.3125,3061.0810546875,30886.0,9110.0,1.3307604789733887,0.3011031448841095,2.7090718746185303,0.8011301755905151,1.579946517944336,0.41511568427085876,2.879743814468384,1.0739367008209229,-0.21111330389976501,0.0974140614271164,-0.038804974406957626,-0.4499482810497284,-3.088088891235417,-60.0023681236408,2024-07-01,2024-07-15,0.002214253,-0.0021216162
Amazonas_Manaus_BR_3,sano,0.30539166927337646,0.10655156522989273,0.49129387736320496,0.0046961139887571335,0.2899869680404663,0.08960855007171631,0.4484923779964447,0.007351755164563656,25885.974609375,4956.5634765625,40563.0,10062.0,-4.4312459976936225e-06,4.679815447161673e-06,1.4235818525776267e-05,-1.2478318240027875e-05,0.929145336151123,0.02317129261791706,1.0348262786865234,0.7781308889389038,-2.374685725836656e-10,2.5796040303838197e-10,7.949862435019384e-10,-5.606046182826674e-10,0.5585278868675232,0.11735030263662338,0.985403835773468,0.3807459771633148,0.03538798913359642,0.050390709191560745,0.26870787143707275,-0.038327906280756,0.8577592372894287,0.3266203999519348,1.6264231204986572,0.014812350273132324,1.7812355756759644,0.2572864890098572,2.3530609607696533,0.9984611868858337,2.9830446243286133,31.547775268554688,258.3653869628906,-1238.888916015625,0.8659159541130066,0.2281484156847,1.4403291940689087,-0.6580067873001099,-0.02695905975997448,0.09564486145973206,0.1604299694299698,-0.31066566705703735,-77357360.0,45048068.0,-18903.888671875,-259544208.0,1.0380139350891113,0.04510371387004852,1.1161731481552124,0.8408151268959045,1969.7420654296875,2722.37158203125,7936.5859375,-9160.21875,0.4288484752178192,0.0669875219464302,0.5559893846511841,0.25235357880592346,0.6383455395698547,0.2306535392999649,1.075528860092163,0.00939224287867546,0.8866952061653137,0.18012909591197968,1.4495798349380493,0.033061809837818146,inf,,inf,-12748.0,1.3532624244689941,0.44932425022125244,2.427208662033081,0.30399203300476074,0.26318788528442383,0.021333057433366776,0.33347785472869873,0.22112438082695007,0.48203036189079285,0.05198138952255249,0.5807662010192871,0.3384174704551697,10838.8935546875,1405.8935546875,15583.185546875,5062.2587890625,0.02409033477306366,0.03661274164915085,0.2107541561126709,-0.023286180570721626,13501.9404296875,1283.552734375,22804.5,8077.5,1.1272978782653809,0.5404883623123169,15.623188018798828,0.8449275493621826,1.9409481287002563,0.4055801033973694,2.9315428733825684,1.0094364881515503,-0.2899869680404663,0.08960855007171631,-0.007351755164563656,-0.4484923779964447,-3.1449269184017714,-59.98182804370177,2024-07-01,2024-07-15,0.00089651346,-0.0070751384
Amazonas_Manaus_BR_4,sano,0.20171014964580536,0.10385414212942123,0.46004730463027954,0.03794180974364281,0.20876756310462952,0.08923438936471939,0.4286908507347107,0.04060615599155426,22749.853515625,5014.79345703125,37111.0,10605.0,6.94561208547384e-07,4.4458811316872016e-06,1.99595742742531e-05,-1.1995005479548126e-05,0.8934779763221741,0.06638048589229584,1.040757417678833,0.29200422763824463,5.154347088032196e-11,2.4800711484473936e-10,1.1651237752374755e-09,-5.610079623075137e-10,0.663273811340332,0.1181735172867775,0.9219567775726318,0.3998830020427704,0.11638700217008591,0.08394943177700043,0.7366303205490112,-0.039538491517305374,0.5632991790771484,0.31794214248657227,1.5007314682006836,0.08464956283569336,1.5760853290557861,0.2691255509853363,2.4700927734375,1.0734291076660156,1.5401192903518677,6.226407051086426,93.5616455078125,-184.0,0.5817179679870605,0.2617231607437134,1.334093451499939,-0.1539405882358551,-0.10374394059181213,0.09704206883907318,0.2202380895614624,-0.2923545837402344,-40837232.0,41710192.0,-728440.6875,-204930272.0,0.9879641532897949,0.04586470499634743,1.1132209300994873,0.8002318143844604,-469.1311950683594,2727.380615234375,6617.13671875,-8925.73828125,0.363721638917923,0.06460031121969223,0.5329345464706421,0.26933079957962036,0.4146958291530609,0.22305811941623688,0.9947425127029419,0.07592009752988815,0.6557585000991821,0.19976530969142914,1.3808904886245728,0.22633938491344452,13.231584548950195,72.18785858154297,1892.142822265625,-1258.8182373046875,0.9240745902061462,0.4228822588920593,2.1844356060028076,0.38531380891799927,0.2812475562095642,0.021508177742362022,0.32527679204940796,0.22596068680286407,0.43293866515159607,0.05069310963153839,0.5650669932365417,0.352811336517334,10474.658203125,1763.422607421875,19733.599609375,5719.77587890625,0.08286897838115692,0.060717567801475525,0.472811758518219,-0.030728893354535103,14229.0947265625,2216.091552734375,29668.5,9110.0,1.3457704782485962,0.2919972240924835,2.7090718746185303,0.862085223197937,1.5544276237487793,0.38062724471092224,2.7040281295776367,1.0788763761520386,-0.20876756310462952,0.08923438936471939,-0.04060615599155426,-0.4286908507347107,-3.0899599923775676,-59.99967840825055,2024-07-01,2024-07-15,-0.0061415285,-0.0067632385
Amazonas_Manaus_BR_5,sano,0.11416114866733551,0.0894850417971611,0.48648568987846375,-0.030651340261101723,0.12077946960926056,0.0832974910736084,0.4367731213569641,-0.04122951626777649,17168.4921875,5149.79443359375,41903.0,7419.0,8.904787591745844e-07,3.21226207233849e-06,1.620698458282277e-05,-1.6129895811900496e-05,0.9399978518486023,0.03327591344714165,1.0496747493743896,0.8100208640098572,5.571380509716839e-11,2.2490626028215388e-10,1.0537015704414898e-09,-8.359491432408106e-10,0.793991208076477,0.12874475121498108,1.0860049724578857,0.3920082151889801,0.07172668725252151,0.04241405054926872,0.23052239418029785,-0.04652052000164986,0.2971678376197815,0.2391585111618042,1.5509669780731201,-0.07919389009475708,1.3116943836212158,0.22050562500953674,2.2480266094207764,0.9015049338340759,1.740441083908081,16.006933212280273,495.6410217285156,-189.11111450195312,0.46259990334510803,1.9319573640823364,27.0,-46.33333206176758,-0.20442073047161102,0.08767294138669968,0.1481548696756363,-0.3603932559490204,-15665150.0,26013058.0,-10.2493314743042,-274776256.0,0.9876716732978821,0.03343042731285095,1.1721221208572388,0.8365687727928162,-2520.117431640625,2109.38916015625,8004.8408203125,-8874.65625,0.3123394846916199,0.05205138400197029,0.5524099469184875,0.23490920662879944,0.2318400740623474,0.18564093112945557,1.0628920793533325,-0.06132187321782112,-inf,,12.199999809265137,-inf,-inf,,1057.5,-inf,0.6198720335960388,0.30275315046310425,2.3880186080932617,0.22265857458114624,0.30341044068336487,0.019927723333239555,0.3448460102081299,0.22562098503112793,0.38891205191612244,0.04269559681415558,0.5755516886711121,0.317536324262619,8562.9189453125,1891.485107421875,15839.1748046875,4244.2607421875,0.05703090876340866,0.03587523475289345,0.1985473781824112,-0.046408139169216156,12606.17578125,2066.073974609375,22723.0,7505.0,1.4268769025802612,2.9256293773651123,80.5999984741211,-35.5,1.284487009048462,0.2682373523712158,2.894730806350708,0.9405204653739929,-0.12077946960926056,0.0832974910736084,0.04122951626777649,-0.4367731213569641,-3.1382032621157134,-60.013561470304744,2024-07-01,2024-07-15,0.004500702,0.0003894493
Amazonas_Manaus_BR_6,sano,0.16993224620819092,0.09460307657718658,0.4642971158027649,0.02363067865371704,0.17917807400226593,0.08153307437896729,0.43229639530181885,0.012262724339962006,20420.9296875,4224.97900390625,38227.0,9512.0,1.3295663165990845e-06,3.52097958966624e-06,1.1109041224699467e-05,-1.294543471885845e-05,0.9111706614494324,0.03174741193652153,1.0711764097213745,0.7337774634361267,9.74931316233274e-11,2.0812654377699857e-10,7.163425963518932e-10,-5.565774507942933e-10,0.7038148641586304,0.11205609142780304,0.9757716059684753,0.39635902643203735,0.10444529354572296,0.04623638093471527,0.2876771092414856,-0.03598124906420708,0.4636787474155426,0.27518877387046814,1.5229651927947998,0.024829983711242676,1.4836333990097046,0.230520099401474,2.3287198543548584,0.9953166842460632,1.9235061407089233,6.095559120178223,198.77450561523438,-27.367149353027344,0.5368902087211609,0.26543357968330383,1.1373759508132935,-0.44494864344596863,-0.13939803838729858,0.08509748429059982,0.13807323575019836,-0.3086806833744049,-28169062.0,33771652.0,-223248.046875,-218134752.0,0.9827967286109924,0.03609183430671692,1.1258684396743774,0.8852880597114563,-1324.7501220703125,2385.4638671875,6851.54541015625,-7428.1591796875,0.34442150592803955,0.05771561712026596,0.5360414981842041,0.2619549036026001,0.347256600856781,0.20084798336029053,1.0055509805679321,0.04727012291550636,0.6198011636734009,0.19593015313148499,1.1647217273712158,0.10414276272058487,11.170923233032227,105.31756591796875,2881.0,-1457.4444580078125,0.8031391501426697,0.36440688371658325,2.215869426727295,0.34970301389694214,0.2885075807571411,0.019124962389469147,0.3337748348712921,0.22492258250713348,0.41708216071128845,0.045562610030174255,0.5674718022346497,0.34206244349479675,9661.6328125,1144.517822265625,14624.84765625,5257.1748046875,0.07868796586990356,0.04015863314270973,0.25646987557411194,-0.02019590511918068,13516.5400390625,986.3768920898438,20179.0,8767.0,1.4177545309066772,0.4054744243621826,5.3011016845703125,0.9292870759963989,1.446245789527893,0.3265511691570282,2.733412981033325,1.0484051704406738,-0.17917807400226593,0.08153307437896729,-0.012262724339962006,-0.43229639530181885,-3.0664572609167458,-60.0002870144908,2024-07-01,2024-07-15,0.0037439615,0.0014161658
Amazonas_Manaus_BR_7,sano,-0.0056596617214381695,0.011115566827356815,0.17384174466133118,-0.016336949542164803,-0.0098727997392416,0.010744286701083183,0.1703457087278366,-0.021643921732902527,7675.87939453125,896.2134399414062,25977.0,7370.0,-1.0670535175449913e-06,3.0266696171565854e-07,1.2710443115793169e-06,-4.2854080675169826e-06,0.9911264181137085,0.01248498260974884,1.0918245315551758,0.9627140760421753,-1.3749223981562864e-10,3.4176581703571074e-11,1.0964840840843593e-10,-3.211165500172086e-10,1.0201536417007446,0.019487740471959114,1.0442454814910889,0.7088967561721802,0.0004646517045330256,0.014043252915143967,0.030250990763306618,-0.10815833508968353,-0.019295692443847656,0.02418716438114643,0.4106426239013672,-0.04237079620361328,0.9724613428115845,0.02329138293862343,1.400514841079712,0.947515070438385,0.05430064722895622,0.13641363382339478,0.11689070612192154,-3.588081121444702,-inf,,249.0,-inf,-0.34007036685943604,0.009950267150998116,-0.19259512424468994,-0.35552117228507996,-95390.109375,1333890.75,-10.25010871887207,-35229644.0,1.0084689855575562,0.0028861186001449823,1.0539318323135376,0.9872768521308899,-3511.25927734375,130.42982482910156,-1675.124755859375,-3746.423828125,0.24720904231071472,0.005907643586397171,0.3444761037826538,0.24189823865890503,-0.011309447698295116,0.022371500730514526,0.35125088691711426,-0.032676778733730316,-inf,,73.0,-inf,-inf,,129.0,-inf,0.2799328565597534,0.029602158814668655,0.778131365776062,0.2549920082092285,0.3364577293395996,0.0024579623714089394,0.3393203616142273,0.2938183844089508,0.3299066722393036,0.005044587422162294,0.4144727289676666,0.32494309544563293,4422.83935546875,393.35906982421875,12405.4013671875,4229.966796875,0.0005251267575658858,0.013796544633805752,0.030508926138281822,-0.08466686308383942,7794.3427734375,463.74932861328125,17073.0,7493.5,0.6651518940925598,1.6709095239639282,39.0,-7.1052632331848145,0.9890261888504028,0.025540949776768684,1.4208437204360962,0.9678513407707214,0.0098727997392416,0.010744286701083183,0.021643921732902527,-0.1703457087278366,-3.123670927242767,-60.06282024129828,2024-07-01,2024-07-15,0.0024148526,-0.0066276086
Amazonas_Manaus_BR_8,sano,0.15400457382202148,0.10010254383087158,0.45990464091300964,-0.011981913819909096,0.16134031116962433,0.0871814414858818,0.4254593253135681,0.009170631878077984,20273.251953125,4695.60302734375,38430.0,11333.0,8.61820751651976e-07,3.4047588997054845e-06,1.1790787539212033e-05,-1.145990245277062e-05,0.9308386445045471,0.03130022808909416,1.0359094142913818,0.7516897916793823,6.719186318449033e-11,1.8983847827058753e-10,6.817589826013659e-10,-5.13712683503087e-10,0.7311218976974487,0.11998375505208969,0.9818253517150879,0.4030565023422241,0.08143402636051178,0.04423677548766136,0.35260117053985596,-0.03936773166060448,0.41518768668174744,0.29518434405326843,1.481041669845581,0.018511056900024414,1.4277311563491821,0.24751000106334686,2.2872188091278076,1.0274925231933594,1.4092025756835938,14.709370613098145,147.0895538330078,-482.1875,0.5677279829978943,0.26201197504997253,1.2127659320831299,-0.7396480441093445,-0.1619563102722168,0.09252040833234787,0.12515808641910553,-0.3052777051925659,-26433600.0,37663060.0,-2350.2275390625,-220623072.0,0.986839771270752,0.0358770415186882,1.1054654121398926,0.8194711804389954,-1915.392333984375,2685.37744140625,6827.0322265625,-11144.638671875,0.33543527126312256,0.06120268628001213,0.5328304171562195,0.2440449446439743,0.31495797634124756,0.21306374669075012,0.9943806529045105,-0.02396497130393982,0.6401426792144775,0.19787752628326416,1.2370030879974365,-0.10284605622291565,inf,,inf,-4677.0,0.7558783888816833,0.38978251814842224,2.1833884716033936,0.2649894952774048,0.2931697964668274,0.020658200606703758,0.329535573720932,0.2271219938993454,0.4088560938835144,0.04851091653108597,0.5639651417732239,0.33291858434677124,9783.8603515625,1441.3717041015625,17366.017578125,6175.87939453125,0.06361816078424454,0.03747251257300377,0.29674962162971497,-0.027477102354168892,13872.5634765625,1591.8797607421875,27931.5,10013.0,1.3115092515945435,2.931882858276367,40.654762268066406,-96.54166412353516,1.4050079584121704,0.34962227940559387,2.703049659729004,0.9763199090957642,-0.16134031116962433,0.0871814414858818,-0.009170631878077984,-0.4254593253135681,-3.0867197223434824,-60.06041967283763,2024-07-01,2024-07-15,-0.00053577125,-0.00045056082
Amazonas_Manaus_BR_9,sano,0.24278278648853302,0.11739973723888397,0.4550599157810211,0.02655513398349285,0.24259553849697113,0.09941734373569489,0.4228052496910095,0.04196702688932419,24549.9921875,5307.7509765625,38263.0,13308.0,-8.341393140653963e-07,4.488482773012947e-06,1.1370648280717432e-05,-1.0619354725349694e-05,0.90290367603302,0.03229988366365433,1.0657286643981934,0.7116515636444092,-2.9995568529006533e-11,2.4647853202885983e-10,6.959594012201364e-10,-5.629431365505866e-10,0.6200287342071533,0.13152608275413513,0.9194465279579163,0.4056737720966339,0.09351655095815659,0.05540380999445915,0.3484097421169281,-0.08039899915456772,0.6867265701293945,0.3535391390323639,1.4650349617004395,0.08761084079742432,1.6702911853790283,0.2873598039150238,2.2756948471069336,1.1201832294464111,2.0633695125579834,3.045762777328491,95.9565200805664,-9.030611991882324,0.6629771590232849,0.2787233591079712,1.242369532585144,-0.36347758769989014,-0.070444755256176,0.10464528948068619,0.1288156658411026,-0.2869493067264557,-58959136.0,48114064.0,-598289.75,-196095168.0,1.0037516355514526,0.04600744694471359,1.0992591381072998,0.8471329808235168,580.5869750976562,3042.3623046875,6332.767578125,-6309.2724609375,0.3895708918571472,0.07289937883615494,0.529299795627594,0.263453871011734,0.5031704902648926,0.2518586218357086,0.9821265935897827,0.05312277749180794,0.7206275463104248,0.21357865631580353,1.2694300413131714,0.11052031815052032,27.444499969482422,132.15635681152344,3062.0,-712.1333618164062,1.0935075283050537,0.4749554693698883,2.148141860961914,0.35690414905548096,0.27336397767066956,0.023411843925714493,0.3207637369632721,0.22788259387016296,0.45287731289863586,0.05699406564235687,0.5617385506629944,0.3488661050796509,10857.9111328125,1379.6251220703125,15145.9228515625,7241.42138671875,0.06433592736721039,0.04706660658121109,0.30656179785728455,-0.04574347287416458,14213.8369140625,1138.248046875,21669.0,11485.5,1.2967939376831055,0.4040980637073517,5.024055004119873,0.8938775658607483,1.7069531679153442,0.42723721265792847,2.670128345489502,1.0545591115951538,-0.24259553849697113,0.09941734373569489,-0.04196702688932419,-0.4228052496910095,-3.062931937794777,-59.97581611882423,2024-07-01,2024-07-15,0.0051809847,0.0027579516
