id_campo,estado,fecha_captura,red_mean,red_std,red_min,red_max,green_mean,green_std,green_min,green_max,blue_mean,blue_std,blue_min,blue_max,nir08_mean,nir08_std,nir08_min,nir08_max,swir16_mean,swir16_std,swir16_min,swir16_max,swir22_mean,swir22_std,swir22_min,swir22_max,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,gndvi_mean,gndvi_std,gndvi_min,gndvi_max,ndmi_mean,ndmi_std,ndmi_min,ndmi_max,msi_mean,msi_std,msi_min,msi_max,lat,lon,diff_ndvi,diff_ndmi
Amazonas_Manaus_BR_0,sano,2024-07-01,10801.3623046875,1679.013427734375,7397.0,20915.0,10673.974609375,1382.0296630859375,7704.0,20208.0,9772.7529296875,1260.8505859375,7102.0,19018.0,15291.6552734375,2495.1787109375,8159.0,23779.0,14972.8349609375,2659.365966796875,7754.0,26566.0,13028.28125,2631.77099609375,7600.0,23985.0,0.1689673215150833,0.10132241994142532,0.01520756259560585,0.4582659602165222,0.17342880368232727,0.0892753154039383,-0.002397520700469613,0.42898350954055786,0.01197998970746994,0.09436500817537308,-0.17087271809577942,0.25166797637939453,0.9929537773132324,0.179334357380867,0.5978678464889526,1.412174940109253,-3.0919610721425244,-60.016641715010486,0.005171895,-0.0011446374
Amazonas_Manaus_BR_1,sano,2024-07-01,9839.5283203125,2254.924560546875,7282.0,25191.0,9732.9775390625,1967.420654296875,7433.0,22889.0,9382.396484375,1595.3231201171875,7290.0,19813.0,11413.62109375,3869.95458984375,7363.0,28648.0,11796.56640625,4608.9921875,7384.0,30233.0,10849.9560546875,3875.92578125,7384.0,29675.0,0.057609252631664276,0.08699002116918564,-0.02235506661236286,0.5365388989448547,0.06066470220685005,0.08877333998680115,-0.028529295697808266,0.4889812767505646,-0.007130943704396486,0.06589173525571823,-0.19833040237426758,0.3161207437515259,1.023197054862976,0.13409638404846191,0.5196174383163452,1.4947932958602905,-3.1276820977735484,-60.040679725171074,0.0031039938,-0.009220848
Amazonas_Manaus_BR_2,sano,2024-07-01,11291.7880859375,2121.4404296875,7561.0,22071.0,11064.1103515625,1789.617431640625,7902.0,21266.0,10036.7373046875,1614.7236328125,2778.0,19812.0,15604.0751953125,2653.279052734375,8778.0,26296.0,15812.2138671875,3184.168212890625,8301.0,26459.0,13873.9873046875,3158.30615234375,7733.0,24920.0,0.15939001739025116,0.09918688982725143,0.01510525494813919,0.47031813859939575,0.1674952208995819,0.08733897656202316,0.01225556991994381,0.43861111998558044,-0.0031079365871846676,0.095299631357193,-0.16630981862545013,0.28681325912475586,1.0236035585403442,0.18283282220363617,0.5542270541191101,1.398972749710083,-3.0823999715851285,-59.97958722971621,0.0082129985,-0.004796956
Amazonas_Manaus_BR_3,sano,2024-07-01,7836.22802734375,51.947811126708984,7649.0,7966.0,7901.2451171875,55.070133209228516,7713.0,8034.0,7848.05517578125,84.32891845703125,7576.0,8030.0,7723.236328125,40.69049072265625,7560.0,7841.0,7502.1533203125,34.63917922973633,7383.0,7609.0,7432.74755859375,27.192447662353516,7344.0,7513.0,-0.007257864344865084,0.0015470230719074607,-0.01128179021179676,-0.0014688038500025868,-0.011387714184820652,0.001702421810477972,-0.015154421329498291,-0.005091190338134766,0.014519021846354008,0.0015728604048490524,0.00969982985407114,0.02149343490600586,0.9713822603225708,0.0030570575036108494,0.9579176306724548,0.9807866811752319,-3.149988987293224,-60.03432905935258,0.005156051,-0.01072737
Amazonas_Manaus_BR_4,sano,2024-07-01,10950.9580078125,1666.711181640625,7930.0,16613.0,10732.033203125,1293.790771484375,8461.0,16202.0,9831.470703125,1170.08642578125,7432.0,14114.0,15760.40234375,1992.761962890625,11129.0,22062.0,15767.1005859375,2299.985107421875,10279.0,24623.0,13682.05078125,2634.61474609375,8651.0,22767.0,0.17911192774772644,0.11243891716003418,0.011259459890425205,0.4517766535282135,0.187457874417305,0.0953398048877716,0.007169556804001331,0.4207650125026703,0.0009547477238811553,0.11156104505062103,-0.17647798359394073,0.2683476209640503,1.0208791494369507,0.2054293006658554,0.5768547654151917,1.4285932779312134,-3.076063726269839,-60.00362742602323,0.00025340915,-0.0020722838
Amazonas_Manaus_BR_5,sano,2024-07-01,8635.482421875,1327.8074951171875,7849.0,20144.0,9052.4873046875,1054.8160400390625,8292.0,19612.0,8338.5517578125,982.8272094726562,7578.0,17974.0,17269.5625,1396.297607421875,11955.0,22932.0,12646.2509765625,1866.9176025390625,10197.0,23504.0,9834.5537109375,2209.12255859375,8409.0,21532.0,0.3336872160434723,0.08670470118522644,0.016660477966070175,0.43631866574287415,0.31159982085227966,0.07341789454221725,0.0229661725461483,0.40607744455337524,0.15651877224445343,0.08765322715044022,-0.1613798588514328,0.2524104416370392,0.7413179278373718,0.15867874026298523,0.5969205498695374,1.384869933128357,-3.090807603126504,-59.97179233597018,0.0011699498,-0.00017341971
Amazonas_Manaus_BR_6,sano,2024-07-01,12108.3173828125,3368.597900390625,7696.0,28554.0,11970.57421875,3040.975830078125,7735.0,27638.0,11092.130859375,2973.043701171875,4292.0,26853.0,16585.431640625,4039.220947265625,7212.0,30665.0,16666.5625,3933.17431640625,7612.0,31877.0,14617.4697265625,3787.4091796875,7573.0,28253.0,0.154104545712471,0.11978890001773834,-0.03799743205308914,0.5387121438980103,0.157729834318161,0.10333459824323654,-0.0385281965136528,0.4935047924518585,-0.0026749747339636087,0.10819117724895477,-0.23527489602565765,0.32451683282852173,1.027214765548706,0.20285390317440033,0.5099846124649048,1.6153188943862915,-3.121428343054422,-60.034032043945366,0.015715554,0.0044767265
Amazonas_Manaus_BR_7,sano,2024-07-01,11651.4833984375,2020.761474609375,7895.0,26332.0,11358.966796875,1693.7509765625,8467.0,26189.0,10342.3984375,1542.3115234375,2151.0,23741.0,15598.5947265625,2209.380126953125,11525.0,26203.0,16780.95703125,2711.188720703125,10945.0,33519.0,14872.9423828125,2933.62890625,8750.0,30622.0,0.14489240944385529,0.10234431177377701,-0.019493969157338142,0.47255903482437134,0.15585146844387054,0.09046007692813873,-0.016772139817476273,0.43872588872909546,-0.03501743823289871,0.09909369796514511,-0.21287420392036438,0.2855660021305084,1.0924603939056396,0.19496309757232666,0.5557349920272827,1.540889859199524,-3.076912428866336,-60.03476218107211,0.002843544,0.0026727729
Amazonas_Manaus_BR_8,sano,2024-07-01,10547.2744140625,1694.346435546875,7915.0,17543.0,10451.3837890625,1282.6988525390625,8457.0,15555.0,9500.4150390625,1144.8646240234375,7082.0,15407.0,16925.158203125,1847.8922119140625,12403.0,23327.0,15260.6640625,2365.9599609375,10191.0,33685.0,12531.6474609375,2425.683349609375,8637.0,31010.0,0.23237954080104828,0.10629782825708389,0.025189680978655815,0.47517865896224976,0.23509205877780914,0.08764849603176117,0.027619853615760803,0.4384288191795349,0.053899288177490234,0.10380946099758148,-0.30170997977256775,0.26821768283843994,0.9157252907752991,0.1839057356119156,0.577016294002533,1.864139437675476,-3.082517568986198,-59.997188802953815,0.00093075633,-0.00045039132
Amazonas_Manaus_BR_9,sano,2024-07-01,9305.0048828125,1532.6171875,7830.0,21189.0,9622.2880859375,1216.7598876953125,8061.0,21536.0,8891.6328125,1079.130126953125,7181.0,20018.0,17632.330078125,2055.9384765625,8372.0,24932.0,13999.7099609375,2475.947998046875,7865.0,29042.0,10873.6962890625,2484.263671875,7547.0,27588.0,0.30792030692100525,0.09844402223825455,0.015472539700567722,0.46398115158081055,0.29153597354888916,0.08307836204767227,0.007351755164563656,0.4275962710380554,0.11718298494815826,0.10478870570659637,-0.1730927973985672,0.2747062146663666,0.8075309991836548,0.18538282811641693,0.5689889788627625,1.4186511039733887,-3.140828747308002,-59.97784346140827,-0.00024336576,-0.0053129196
